B_age,B_current_lose_streak,B_current_win_streak,B_Height_cms,B_longest_win_streak,B_losses,B_Reach_cms,B_Stance,B_total_rounds_fought,B_total_title_bouts,B_Weight_lbs,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,R_age,R_current_lose_streak,R_current_win_streak,R_Height_cms,R_longest_win_streak,R_losses,R_Reach_cms,R_Stance,R_total_rounds_fought,R_total_title_bouts,R_Weight_lbs,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,title_bout,weight_class,Winner
0.642857143,0.2,0,0.347826087,0.375,0.4375,0.461538462,Orthodox,0.574468085,0,0.2,0,0,0.7,0.454545455,0,0,0.52173913,0.481481481,0,0.3125,0.52173913,0.3125,0,0.583333333,Orthodox,0.147727273,0,0.2,0,0.4,0.2,0.090909091,0,0,0.217391304,FALSE,Featherweight,Red
0.321428571,0,0.0625,0.652173913,0.0625,0,0.846153846,Orthodox,0.021276596,0,0.6,0,0,0,0.090909091,0,0,0.043478261,0.444444444,0,0.375,0.695652174,0.375,0.117647059,0.708333333,Southpaw,0.193181818,0.125,0.6,0,0.2,0.1,0.272727273,0.071428571,0,0.260869565,FALSE,LightHeavyweight,Blue
0.428571429,0,0.1875,0.260869565,0.1875,0.1875,0.230769231,Orthodox,0.244680851,0,0.2,0,0.4,0.3,0,0,0,0.217391304,0.407407407,0.5,0,0.260869565,0.3125,0.117647059,0.333333333,Orthodox,0.238636364,0,0.133333333,0,0,0.5,0,0,0,0.217391304,FALSE,Bantamweight,Red
0.392857143,0.4,0,0.391304348,0,0.125,0.538461538,Switch,0.053191489,0,0.2,0,0,0,0,0,0,0,0.259259259,0,0.0625,0.304347826,0.0625,0.058823529,0.375,Orthodox,0.056818182,0,0.2,0,0,0.1,0,0,0,0.043478261,FALSE,Featherweight,Blue
0.428571429,0,0.0625,0.565217391,0.3125,0.25,0.730769231,Southpaw,0.372340426,0,0.466666667,0,0.4,0.6,0.090909091,0,0,0.391304348,0.407407407,0,0.125,0.565217391,0.1875,0.176470588,0.666666667,Orthodox,0.340909091,0,0.466666667,0,0.4,0.3,0.272727273,0.071428571,0,0.391304348,FALSE,Middleweight,Red
0.285714286,0,0.0625,0.260869565,0.0625,0.0625,0.423076923,Orthodox,0.042553191,0,0.066666667,0,0,0.1,0,0,0,0.043478261,0.481481481,0,0.125,0.347826087,0.125,0.117647059,0.291666667,Orthodox,0.125,0,0,0,0,0.2,0.090909091,0,0,0.130434783,FALSE,WomenFlyweight,Blue
0.321428571,0.2,0,0.217391304,0,0.0625,0.230769231,Orthodox,0.010638298,0,0,0,0,0,0,0,0,0,0.222222222,0,0.0625,0.043478261,0.0625,0.058823529,0.041666667,Orthodox,0.102272727,0,0,0,0.2,0.1,0,0,0,0.086956522,FALSE,WomenStrawweight,Red
0.357142857,0.2,0,0.695652174,0,0.0625,0.769230769,Switch,0.010638298,0,0.466666667,0,0,0,0,0,0,0,0.481481481,0.25,0,0.52173913,0,0.058823529,0.666666667,Orthodox,0.011363636,0,0.466666667,0,0,0,0,0,0,0,FALSE,Middleweight,Red
0.285714286,0.2,0,0.347826087,0.0625,0.125,0.423076923,Orthodox,0.095744681,0,0.133333333,0,0.2,0,0,0,0,0.043478261,0.592592593,0,0.0625,0.260869565,0.0625,0.235294118,0.291666667,Southpaw,0.147727273,0,0.133333333,0,0,0.1,0.090909091,0.071428571,0,0.130434783,FALSE,Featherweight,Blue
0.607142857,0,0.5625,0.608695652,0.5625,0.3125,0.769230769,Orthodox,0.414893617,0.3125,0.466666667,0,0,0.4,0.363636364,0.214285714,0,0.47826087,0.62962963,0.5,0,0.52173913,0.1875,0.411764706,0.791666667,Orthodox,0.409090909,0.0625,0.466666667,0,0.2,0.1,0.454545455,0,1,0.391304348,FALSE,Middleweight,Red
0.357142857,0.2,0,0.52173913,0,0.0625,0.653846154,Southpaw,0.031914894,0,0.366666667,0,0,0,0,0,0,0,0.62962963,0.25,0,0.565217391,0.125,0.117647059,0.666666667,Switch,0.090909091,0,0.366666667,0,0.2,0,0.090909091,0,0,0.086956522,FALSE,Welterweight,Red
0.214285714,0,0.125,0.608695652,0.125,0.0625,0.615384615,Orthodox,0.074468085,0,0.6,0,0,0,0.181818182,0.142857143,0,0.173913043,0.481481481,0.25,0,0.695652174,0.1875,0.352941176,0.666666667,Orthodox,0.454545455,0.0625,0.6,0,0,0.1,0.454545455,0.214285714,0,0.391304348,FALSE,LightHeavyweight,Red
0.607142857,0,0.125,0.47826087,0.1875,0.4375,0.615384615,Orthodox,0.553191489,0.0625,0.366666667,0,0,0.5,0.454545455,0.071428571,0.5,0.52173913,0.518518519,0,0.8125,0.52173913,0.8125,0,0.666666667,Switch,0.522727273,0.3125,0.366666667,0,0,0.9,0.272727273,0.071428571,0,0.565217391,TRUE,Welterweight,Red
0.321428571,0.2,0,0.217391304,0.1875,0.1875,0.269230769,Orthodox,0.29787234,0.25,0,0,0.2,0.2,0.090909091,0.214285714,0,0.304347826,0.444444444,0,0.3125,0.173913043,0.3125,0,0.125,Switch,0.147727273,0.125,0,0,0.2,0.2,0.090909091,0.071428571,0,0.217391304,TRUE,WomenStrawweight,Blue
0.392857143,0,0.0625,0.652173913,0.125,0.25,0.769230769,Orthodox,0.265957447,0,0.366666667,0,0,0.2,0.181818182,0.142857143,0,0.260869565,0.518518519,0.25,0,0.47826087,0.1875,0.470588235,0.666666667,Orthodox,0.488636364,0,0.366666667,0,0.2,0.3,0.363636364,0.214285714,0,0.47826087,FALSE,Welterweight,Blue
0.357142857,0.2,0,0.043478261,0.25,0.375,0.153846154,Orthodox,0.425531915,0.1875,0,0,0.2,0.5,0.363636364,0.142857143,0,0.52173913,0.518518519,0,0.0625,0.217391304,0.375,0.117647059,0.25,Southpaw,0.454545455,0.375,0.066666667,0,0.2,0.4,0.181818182,0.142857143,0,0.391304348,TRUE,WomenFlyweight,Red
0.214285714,0,0.1875,0.608695652,0.1875,0.0625,0.653846154,Orthodox,0.085106383,0,0.466666667,0,0,0.1,0.090909091,0.071428571,0,0.130434783,0.407407407,0,0.0625,0.565217391,0.125,0.176470588,0.583333333,Southpaw,0.147727273,0,0.466666667,0,0.2,0.1,0,0.142857143,0,0.173913043,FALSE,Middleweight,Blue
0.321428571,0.2,0,0.260869565,0,0.0625,0.461538462,Orthodox,0.031914894,0,0.2,0,0,0,0,0,0,0,0.444444444,0.25,0,0.304347826,0.0625,0.058823529,0.416666667,Orthodox,0.045454545,0,0.133333333,0,0,0,0.090909091,0,0,0.043478261,FALSE,Bantamweight,Red
0.428571429,0.2,0,0.391304348,0,0.0625,0.538461538,Switch,0.031914894,0,0.266666667,0,0,0,0,0,0,0,0.296296296,0,0.0625,0.652173913,0.125,0.176470588,0.625,Southpaw,0.215909091,0,0.266666667,0,0,0.2,0.090909091,0.071428571,0,0.173913043,FALSE,Lightweight,Red
0.214285714,0.2,0,0.391304348,0,0.0625,0.576923077,Orthodox,0.010638298,0,0.466666667,0,0,0,0,0,0,0,0.592592593,0,0.0625,0.434782609,0.1875,0.176470588,0.541666667,Orthodox,0.125,0,0.366666667,0,0,0,0.363636364,0,0,0.173913043,FALSE,Middleweight,Blue
0.357142857,0,0.3125,0.391304348,0.3125,0.4375,0.5,Southpaw,0.5,0.125,0.466666667,0,0.6,0.3,0.272727273,0.142857143,0,0.47826087,0.407407407,0,0.125,0.52173913,0.5625,0.176470588,0.541666667,Orthodox,0.511363636,0.1875,0.466666667,0,0.2,0.7,0.454545455,0,0,0.565217391,FALSE,Middleweight,Red
0.428571429,0.4,0,0.695652174,0.125,0.3125,0.769230769,Orthodox,0.20212766,0,0.9,0,0,0.1,0.181818182,0,0,0.130434783,0.851851852,0,0.0625,0.652173913,0.4375,0.882352941,0.708333333,Orthodox,0.840909091,0.3125,0.833333333,0,0.2,0.7,0.818181818,0.142857143,0,0.826086957,FALSE,Heavyweight,Red
0.5,0,0.125,0.217391304,0.125,0.1875,0.230769231,Orthodox,0.191489362,0,0.066666667,0,0,0.3,0,0,0,0.130434783,0.296296296,0,0.125,0.217391304,0.125,0,0.208333333,Orthodox,0.068181818,0,0.133333333,0,0,0.2,0,0,0,0.086956522,FALSE,WomenFlyweight,Red
